task,episode,step,colliding_geom
"Task(name='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl between the plate and the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.pruned_init')",45,179,glazed_rim_porcelain_ramekin_1_g10
"Task(name='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl between the plate and the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.pruned_init')",45,180,glazed_rim_porcelain_ramekin_1_g7
"Task(name='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl between the plate and the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.pruned_init')",45,182,glazed_rim_porcelain_ramekin_1_g11
"Task(name='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl between the plate and the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.pruned_init')",45,182,glazed_rim_porcelain_ramekin_1_g6
"Task(name='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl between the plate and the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.pruned_init')",45,182,glazed_rim_porcelain_ramekin_1_g7
"Task(name='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl between the plate and the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.pruned_init')",45,182,glazed_rim_porcelain_ramekin_1_g5
"Task(name='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl between the plate and the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.pruned_init')",45,183,glazed_rim_porcelain_ramekin_1_g11
"Task(name='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl between the plate and the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.pruned_init')",45,183,glazed_rim_porcelain_ramekin_1_g8
"Task(name='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl between the plate and the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.pruned_init')",45,183,glazed_rim_porcelain_ramekin_1_g5
"Task(name='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl between the plate and the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.pruned_init')",45,183,glazed_rim_porcelain_ramekin_1_g12
"Task(name='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate', language='pick up the black bowl between the plate and the ramekin and place it on the plate', problem='Libero', problem_folder='libero_spatial', bddl_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl', init_states_file='pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.pruned_init')",45,183,glazed_rim_porcelain_ramekin_1_g4
